district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Jatinegara,Jakarta Timur,-6.2284425,106.8851503,26/05/2024,850000000.0,30.0,55.0,2.0,2.0,2.0,,1.0,SHM,,Unfurnished,2024.0
Duren Sawit,Jakarta Timur,-6.2321915,106.9152021,26/05/2024,750000000.0,50.0,100.0,2.0,3.0,2.0,,1.0,SHM,,Unfurnished,2024.0
jagakarsa,Jagakarsa,-6.327337099999999,106.8207875,26/05/2024,7500000000.0,414.0,414.0,2.0,4.0,2.0,2.0,,SHM,10600.0,Semi Furnished,1996.0
Kayu Putih,Pulo Gadung,-6.1796396,106.8827427,26/05/2024,650000000.0,42.0,52.0,2.0,2.0,1.0,,,SHM,1300.0,,2018.0
Duren Sawit,Jakarta Timur,-6.2321915,106.9152021,26/05/2024,2800000000.0,228.0,272.0,2.0,5.0,2.0,1.0,,SHM,2200.0,Unfurnished,
Matraman,Jakarta Timur,-6.2018754,106.8688565,26/05/2024,700000000.0,30.0,40.0,2.0,,2.0,1.0,,SHM,,Unfurnished,2021.0
Kramat Jati,Jakarta Timur,-6.263320299999999,106.8656951,26/05/2024,1800000000.0,68.0,100.0,2.0,3.0,2.0,,1.0,SHM,,Unfurnished,2024.0
Pesanggrahan,Jakarta Selatan,-6.2365273,106.751266,26/05/2024,7800000000.0,320.0,500.0,2.0,3.0,3.0,,3.0,SHM,5500.0,Full Furnished,2014.0
Pulo Gadung,Jakarta Timur,-6.1936067,106.8912095,26/05/2024,6000000000.0,207.0,300.0,2.0,4.0,3.0,,2.0,SHM,,,
Kembangan,Jakarta Barat,-6.1987086,106.741926,26/05/2024,2500000000.0,397.0,320.0,1.0,3.0,3.0,,,,4400.0,,
Gambir,Jakarta Pusat,-6.1673595,106.8209277,26/05/2024,8500000000.0,73.0,402.0,,,,,,SHM,,Full Furnished,2022.0
Cilandak,Jakarta Selatan,-6.277122299999999,106.7975781,26/05/2024,2890000000.0,18.0,300.0,2.0,7.0,5.0,2.0,,HGB,3500.0,Unfurnished,
Jagakarsa,Jakarta Selatan,-6.3360601,106.8256645,26/05/2024,8800000000.0,349.0,100.0,1.0,4.0,2.0,1.0,1.0,SHM,2200.0,Unfurnished,
Otista,Jatinegara,-6.2349983,106.8678743,26/05/2024,4500000000.0,135.0,235.0,2.0,4.0,4.0,,2.0,SHM,3500.0,Unfurnished,
Penjaringan,Jakarta Utara,-6.116455699999999,106.7557702,26/05/2024,3000000000.0,88.0,180.0,2.0,2.0,2.0,,,SHM,2200.0,,
Slipi,Grogol Petamburan,-6.166261,106.79228,26/05/2024,1000000000.0,65.0,100.0,2.0,3.0,2.0,,,SHM,1300.0,Unfurnished,1999.0
Lebak Bulus,Cilandak,-6.3031123,106.7794935,26/05/2024,3200000000.0,74.0,148.0,3.0,3.0,3.0,2.0,,SHM,,Unfurnished,
Lebak Bulus,Cilandak,-6.3031123,106.7794935,26/05/2024,4100000000.0,127.0,152.0,3.0,3.0,3.0,2.0,,,,Unfurnished,
Lebak Bulus,Cilandak,-6.3031123,106.7794935,26/05/2024,3600000000.0,91.0,152.0,3.0,3.0,3.0,2.0,,SHM,,Unfurnished,
Duri Kepa,Kebon Jeruk,-6.169184599999999,106.7748596,26/05/2024,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0,2.0,SHM,2200.0,Semi Furnished,2022.0
Tanjung Duren,Kebon Jeruk,-6.1803589,106.7837213,26/05/2024,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0,2.0,SHM,2200.0,Semi Furnished,2022.0
Jembatan Lima,Cengkareng,-6.1451657,106.804564,26/05/2024,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0,2.0,SHM,2200.0,Semi Furnished,2022.0
Lebak Bulus,Cilandak,-6.3031123,106.7794935,26/05/2024,3100000000.0,72.0,148.0,3.0,3.0,3.0,2.0,,SHM,,Unfurnished,
Mangga Besar,Kembangan,-6.145353000000001,106.8185752,26/05/2024,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0,2.0,SHM,2200.0,Semi Furnished,2022.0
Kali Deres,Jakarta Barat,-6.152444099999999,106.6969285,26/05/2024,1800000000.0,119.0,68.0,2.0,2.0,1.0,,,SHM,1300.0,,
Ragunan,Pesanggrahan,-6.301752,106.8207875,26/05/2024,1100000000.0,63.0,70.0,2.0,3.0,3.0,2.0,2.0,SHM,2200.0,Semi Furnished,2022.0
